Этап,URL,Страница,Город,Тип,Запрос,Язык,Роль запроса,Интент,Частотность/мес,Конкуренция Ads,Ставка low,Ставка high,Решение,Приоритет,Источник
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,kugoo s3 не включается,RU,Брендовый блок,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",10,Неизвестно,nan,nan,Пока блок бренда внутри основной страницы,Максимальный,Keyword Stats 2026-05-14 at 17_17_56.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,kugoo сервисный центр,RU,Брендовый блок,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",10,Неизвестно,nan,nan,Пока блок бренда внутри основной страницы,Максимальный,Keyword Stats 2026-05-14 at 17_21_21.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,ninebot не включается,RU,Брендовый блок,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",10,Неизвестно,nan,nan,Пока блок бренда внутри основной страницы,Максимальный,Keyword Stats 2026-05-14 at 17_17_56.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,ninebot не заряжается,RU,Брендовый блок,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",10,Низкий,nan,nan,Пока блок бренда внутри основной страницы,Максимальный,Keyword Stats 2026-05-14 at 17_17_56.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,ninebot самокат не включается,RU,Брендовый блок,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",10,Неизвестно,nan,nan,Пока блок бренда внутри основной страницы,Максимальный,Keyword Stats 2026-05-14 at 17_17_56.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,диагностика электросамоката,RU,Блок поломки / FAQ,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",10,Неизвестно,nan,nan,Пока блок поломки / FAQ внутри основной страницы,Максимальный,Keyword Stats 2026-05-14 at 17_21_21.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,мастер по ремонту электросамокатов,RU,Основной/дополнительный запрос,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",10,Неизвестно,nan,nan,Отдельная SEO-страница,Максимальный,Keyword Stats 2026-05-14 at 17_21_21.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,настройка электросамоката,RU,Блок поломки / FAQ,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",10,Неизвестно,nan,nan,Пока блок поломки / FAQ внутри основной страницы,Максимальный,Keyword Stats 2026-05-14 at 17_21_21.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,не включается самокат kugoo s3,RU,Брендовый блок,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",10,Неизвестно,nan,nan,Пока блок бренда внутри основной страницы,Максимальный,Keyword Stats 2026-05-14 at 17_17_56.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,неисправности электросамоката,RU,Основной/дополнительный запрос,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",10,Низкий,nan,nan,Отдельная SEO-страница,Максимальный,Keyword Stats 2026-05-14 at 17_21_21.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,обслуживание электросамоката,RU,Блок поломки / FAQ,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",10,Неизвестно,nan,nan,Пока блок поломки / FAQ внутри основной страницы,Максимальный,Keyword Stats 2026-05-14 at 17_21_21.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,ошибки электросамокатов,RU,Блок поломки / FAQ,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",10,Неизвестно,nan,nan,Пока блок поломки / FAQ внутри основной страницы,Максимальный,Keyword Stats 2026-05-14 at 17_21_21.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,поломки электросамоката,RU,Основной/дополнительный запрос,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",10,Неизвестно,nan,nan,Отдельная SEO-страница,Максимальный,Keyword Stats 2026-05-14 at 17_21_21.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,разборка электросамокатов,RU,Блок поломки / FAQ,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",10,Средний,nan,nan,Пока блок поломки / FAQ внутри основной страницы,Максимальный,Keyword Stats 2026-05-14 at 17_21_21.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,ремонт и обслуживание электросамокатов,RU,Блок поломки / FAQ,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",10,Неизвестно,nan,nan,Пока блок поломки / FAQ внутри основной страницы,Максимальный,Keyword Stats 2026-05-14 at 17_21_21.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,ремонт самокатів,UA,Основной/дополнительный запрос,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",10,Низкий,nan,nan,Отдельная SEO-страница,Максимальный,Keyword Stats 2026-05-14 at 17_21_21.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,ремонт электрических самокатов,RU,Основной/дополнительный запрос,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",10,Неизвестно,nan,nan,Отдельная SEO-страница,Максимальный,Keyword Stats 2026-05-14 at 17_21_21.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,ремонт электросамокат,RU,Основной/дополнительный запрос,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",10,Высокий,nan,nan,Отдельная SEO-страница,Максимальный,Keyword Stats 2026-05-14 at 17_21_21.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,ремонт электросамокатов kugoo,RU,Брендовый блок,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",10,Неизвестно,nan,nan,Пока блок бренда внутри основной страницы,Максимальный,Keyword Stats 2026-05-14 at 17_21_21.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,ремонт электросамокатов рядом со мной,RU,Коммерческий city-запрос,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",10,Низкий,nan,nan,Отдельная SEO-страница,Максимальный,Keyword Stats 2026-05-14 at 17_22_01.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,ремонт єлектросамокатов,UA,Основной/дополнительный запрос,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",10,Неизвестно,nan,nan,Отдельная SEO-страница,Максимальный,Keyword Stats 2026-05-14 at 17_21_21.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,сервис электросамокатов,RU,Основной/дополнительный запрос,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",10,Низкий,nan,nan,Отдельная SEO-страница,Максимальный,Keyword Stats 2026-05-14 at 17_22_01.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,сервисный центр по ремонту электросамокатов,RU,Основной/дополнительный запрос,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",10,Неизвестно,nan,nan,Отдельная SEO-страница,Максимальный,Keyword Stats 2026-05-14 at 17_21_21.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,сервисный центр самокатов,RU,Основной/дополнительный запрос,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",10,Низкий,nan,nan,Отдельная SEO-страница,Максимальный,Keyword Stats 2026-05-14 at 17_21_21.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,сервисный центр электросамокатов,RU,Основной/дополнительный запрос,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",10,Неизвестно,nan,nan,Отдельная SEO-страница,Максимальный,Keyword Stats 2026-05-14 at 17_21_21.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,электросамокат быстро разряжается,RU,Основной/дополнительный запрос,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",10,Неизвестно,nan,nan,Отдельная SEO-страница,Максимальный,Keyword Stats 2026-05-14 at 17_19_48.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,электросамокат ремонт,RU,Основной/дополнительный запрос,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",10,Низкий,nan,nan,Отдельная SEO-страница,Максимальный,Keyword Stats 2026-05-14 at 17_21_21.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,электросамокаты ремонт,RU,Основной/дополнительный запрос,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",10,Низкий,nan,nan,Отдельная SEO-страница,Максимальный,Keyword Stats 2026-05-14 at 17_21_21.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,kugoo m4 pro не заряжается,RU,Брендовый блок,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",0,Неизвестно,nan,nan,Пока блок бренда внутри основной страницы,Максимальный,Keyword Stats 2026-05-14 at 17_17_56.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,kugoo s1 не включается,RU,Брендовый блок,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",0,Неизвестно,nan,nan,Пока блок бренда внутри основной страницы,Максимальный,Keyword Stats 2026-05-14 at 17_17_56.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,kugoo s3 pro не включается,RU,Брендовый блок,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",0,Неизвестно,nan,nan,Пока блок бренда внутри основной страницы,Максимальный,Keyword Stats 2026-05-14 at 17_17_56.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,kugoo s3 быстро разряжается,RU,Брендовый блок,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",0,Неизвестно,nan,nan,Пока блок бренда внутри основной страницы,Максимальный,Keyword Stats 2026-05-14 at 17_19_48.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,kugoo s3 не включается после зарядки,RU,Брендовый блок,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",0,Неизвестно,nan,nan,Пока блок бренда внутри основной страницы,Максимальный,Keyword Stats 2026-05-14 at 17_17_56.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,kugoo s3 не заряжается,RU,Брендовый блок,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",0,Неизвестно,nan,nan,Пока блок бренда внутри основной страницы,Максимальный,Keyword Stats 2026-05-14 at 17_17_56.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,ninebot es2 не заряжается,RU,Брендовый блок,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",0,Неизвестно,nan,nan,Пока блок бренда внутри основной страницы,Максимальный,Keyword Stats 2026-05-14 at 17_17_56.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,не включается электросамокат kugoo s3,RU,Брендовый блок,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",0,Неизвестно,nan,nan,Пока блок бренда внутри основной страницы,Максимальный,Keyword Stats 2026-05-14 at 17_17_56.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,не работает электросамокат,RU,Основной/дополнительный запрос,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",0,Неизвестно,nan,nan,Отдельная SEO-страница,Максимальный,Keyword Stats 2026-05-14 at 17_21_21.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,ремонт самокатов куго,RU,Основной/дополнительный запрос,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",0,Неизвестно,nan,nan,Отдельная SEO-страница,Максимальный,Keyword Stats 2026-05-14 at 17_21_21.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,ремонт электросамоката после воды харьков,RU,Коммерческий city-запрос,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",0,Неизвестно,nan,nan,Отдельная SEO-страница,Максимальный,Keyword Stats 2026-05-14 at 17_19_48.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,ремонт электросамокатов kugoo харьков,RU,Брендовый блок,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",0,Неизвестно,nan,nan,Пока блок бренда внутри основной страницы,Максимальный,Keyword Stats 2026-05-14 at 17_17_56.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,ремонт электросамокатов ninebot,RU,Брендовый блок,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",0,Неизвестно,nan,nan,Пока блок бренда внутри основной страницы,Максимальный,Keyword Stats 2026-05-14 at 17_21_21.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,ремонт электросамокатов ninebot харьков,RU,Брендовый блок,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",0,Неизвестно,nan,nan,Пока блок бренда внутри основной страницы,Максимальный,Keyword Stats 2026-05-14 at 17_17_56.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,ремонт электросамокатов куго,RU,Основной/дополнительный запрос,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",0,Неизвестно,nan,nan,Отдельная SEO-страница,Максимальный,Keyword Stats 2026-05-14 at 17_21_21.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,ремонт электросамокатов харьков цены,RU,Коммерческий city-запрос,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",0,Неизвестно,nan,nan,Отдельная SEO-страница,Максимальный,Keyword Stats 2026-05-14 at 17_19_07.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,самокат быстро разряжается,RU,Основной/дополнительный запрос,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",0,Неизвестно,nan,nan,Отдельная SEO-страница,Максимальный,Keyword Stats 2026-05-14 at 17_19_48.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,сервис по ремонту электросамокатов,RU,Основной/дополнительный запрос,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",0,Неизвестно,nan,nan,Отдельная SEO-страница,Максимальный,Keyword Stats 2026-05-14 at 17_28_59.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,сервис электросамокатов харьков,RU,Коммерческий city-запрос,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",0,Неизвестно,nan,nan,Отдельная SEO-страница,Максимальный,Keyword Stats 2026-05-14 at 17_19_07.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,сервисный центр электросамокатов харьков,RU,Коммерческий city-запрос,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",0,Неизвестно,nan,nan,Отдельная SEO-страница,Максимальный,Keyword Stats 2026-05-14 at 17_19_07.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,электросамокат kugoo s3 не включается,RU,Брендовый блок,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",0,Неизвестно,nan,nan,Пока блок бренда внутри основной страницы,Максимальный,Keyword Stats 2026-05-14 at 17_17_56.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,діагностика електросамоката харків,UA,Коммерческий city-запрос,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",,,,,Отдельная SEO-страница,Максимальный,Из переписки/маска для проверки
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,мастерская электросамокатов харьков,RU,Коммерческий city-запрос,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",,,,,Отдельная SEO-страница,Максимальный,Из переписки/маска для проверки
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,ремонт електросамокатів харків,UA,Коммерческий city-запрос,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",,,,,Отдельная SEO-страница,Максимальный,Из переписки/маска для проверки
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,ремонт электросамоката харьков,RU,Коммерческий city-запрос,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",,,,,Отдельная SEO-страница,Максимальный,Из переписки/маска для проверки
1,/remont-elektrosamokativ-kyiv/,Ремонт електросамокатів у Києві,Київ,електросамокат,майстерня електросамокатів київ,UA,Коммерческий city-запрос,Найти сервис по электросамокату в Киеве,,,,,Отдельная SEO-страница после харьковского эталона,Высокий,Из переписки/маска для проверки
1,/remont-elektrosamokativ-kyiv/,Ремонт електросамокатів у Києві,Київ,електросамокат,ремонт електросамокатів київ,UA,Коммерческий city-запрос,Найти сервис по электросамокату в Киеве,,,,,Отдельная SEO-страница после харьковского эталона,Высокий,Из переписки/маска для проверки
1,/remont-elektrosamokativ-kyiv/,Ремонт електросамокатів у Києві,Київ,електросамокат,ремонт электросамоката киев,RU,Коммерческий city-запрос,Найти сервис по электросамокату в Киеве,,,,,Отдельная SEO-страница после харьковского эталона,Высокий,Из переписки/маска для проверки
1,/remont-elektrosamokativ-kyiv/,Ремонт електросамокатів у Києві,Київ,електросамокат,ремонт электросамокатов киев,RU,Коммерческий city-запрос,Найти сервис по электросамокату в Киеве,,,,,Отдельная SEO-страница после харьковского эталона,Высокий,Из переписки/маска для проверки
1,/remont-elektrosamokativ-kyiv/,Ремонт електросамокатів у Києві,Київ,електросамокат,сервис электросамокатов киев,RU,Коммерческий city-запрос,Найти сервис по электросамокату в Киеве,,,,,Отдельная SEO-страница после харьковского эталона,Высокий,Из переписки/маска для проверки
1,/remont-elektroskuteriv-kharkiv/,Ремонт електроскутерів у Харкові,Харків,електроскутер,ремонт электроскутеров харьков,RU,Коммерческий city-запрос,"Найти ремонт электроскутера, батареи, контроллера, силовой части",30,Низкий,"1,27","9,45",Отдельная SEO-страница,Высокий,Keyword Stats 2026-05-14 at 17_21_21.csv
1,/remont-elektroskuteriv-kharkiv/,Ремонт електроскутерів у Харкові,Харків,електроскутер,электроскутер ремонт,RU,Основной/дополнительный запрос,"Найти ремонт электроскутера, батареи, контроллера, силовой части",10,Неизвестно,nan,nan,Отдельная SEO-страница,Высокий,Keyword Stats 2026-05-14 at 17_21_21.csv
1,/remont-elektroskuteriv-kharkiv/,Ремонт електроскутерів у Харкові,Харків,електроскутер,ремонт електроскутерів харків,UA,Коммерческий city-запрос,"Найти ремонт электроскутера, батареи, контроллера, силовой части",,,,,Отдельная SEO-страница,Высокий,Из переписки/маска для проверки
1,/remont-elektroskuteriv-kharkiv/,Ремонт електроскутерів у Харкові,Харків,електроскутер,ремонт электроскутера харьков,RU,Коммерческий city-запрос,"Найти ремонт электроскутера, батареи, контроллера, силовой части",,,,,Отдельная SEO-страница,Высокий,Из переписки/маска для проверки
1,/remont-elektroskuteriv-kharkiv/,Ремонт електроскутерів у Харкові,Харків,електроскутер,сервис электроскутеров харьков,RU,Коммерческий city-запрос,"Найти ремонт электроскутера, батареи, контроллера, силовой части",,,,,Отдельная SEO-страница,Высокий,Из переписки/маска для проверки
1,/remont-elektroskuteriv-kyiv/,Ремонт електроскутерів у Києві,Київ,електроскутер,ремонт електроскутерів київ,UA,Коммерческий city-запрос,Найти ремонт электроскутера в Киеве,,,,,Отдельная SEO-страница,Высокий,Из переписки/маска для проверки
1,/remont-elektroskuteriv-kyiv/,Ремонт електроскутерів у Києві,Київ,електроскутер,ремонт электроскутера киев,RU,Коммерческий city-запрос,Найти ремонт электроскутера в Киеве,,,,,Отдельная SEO-страница,Высокий,Из переписки/маска для проверки
1,/remont-elektroskuteriv-kyiv/,Ремонт електроскутерів у Києві,Київ,електроскутер,ремонт электроскутеров киев,RU,Коммерческий city-запрос,Найти ремонт электроскутера в Киеве,,,,,Отдельная SEO-страница,Высокий,Из переписки/маска для проверки
1,/remont-elektroskuteriv-kyiv/,Ремонт електроскутерів у Києві,Київ,електроскутер,сервис электроскутеров киев,RU,Коммерческий city-запрос,Найти ремонт электроскутера в Киеве,,,,,Отдельная SEO-страница,Высокий,Из переписки/маска для проверки
2,/remont-elektrovelosypediv/,Ремонт електровелосипедів,Харків + Київ,електровелосипед,ремонт электровелосипедов харьков,RU,Коммерческий city-запрос,"Ремонт электровелосипеда: мотор, батарея, контроллер, зарядка",50,Средний,"2,00","10,12","Отдельная страница, спрос есть",Высокий/средний,Keyword Stats 2026-05-14 at 17_22_01.csv
2,/remont-elektrovelosypediv/,Ремонт електровелосипедів,Харків + Київ,електровелосипед,ремонт электровелосипеда,RU,Основной/дополнительный запрос,"Ремонт электровелосипеда: мотор, батарея, контроллер, зарядка",20,Низкий,nan,nan,"Отдельная страница, спрос есть",Высокий/средний,Keyword Stats 2026-05-14 at 17_30_18.csv
2,/remont-elektrovelosypediv/,Ремонт електровелосипедів,Харків + Київ,електровелосипед,мастерская по ремонту электровелосипедов,RU,Основной/дополнительный запрос,"Ремонт электровелосипеда: мотор, батарея, контроллер, зарядка",10,Низкий,nan,nan,"Отдельная страница, спрос есть",Высокий/средний,Keyword Stats 2026-05-14 at 17_22_01.csv
2,/remont-elektrovelosypediv/,Ремонт електровелосипедів,Харків + Київ,електровелосипед,мастерские по ремонту электровелосипедов,RU,Основной/дополнительный запрос,"Ремонт электровелосипеда: мотор, батарея, контроллер, зарядка",10,Низкий,nan,nan,"Отдельная страница, спрос есть",Высокий/средний,Keyword Stats 2026-05-14 at 17_29_49.csv
2,/remont-elektrovelosypediv/,Ремонт електровелосипедів,Харків + Київ,електровелосипед,ремонт зарядного устройства электровелосипеда,RU,Блок поломки / FAQ,"Ремонт электровелосипеда: мотор, батарея, контроллер, зарядка",10,Неизвестно,nan,nan,Пока блок поломки / FAQ внутри основной страницы,Высокий/средний,Keyword Stats 2026-05-14 at 17_30_18.csv
2,/remont-elektrovelosypediv/,Ремонт електровелосипедів,Харків + Київ,електровелосипед,ремонт контроллера электровелосипеда,RU,Блок поломки / FAQ,"Ремонт электровелосипеда: мотор, батарея, контроллер, зарядка",10,Средний,nan,nan,Пока блок поломки / FAQ внутри основной страницы,Высокий/средний,Keyword Stats 2026-05-14 at 17_30_18.csv
2,/remont-elektrovelosypediv/,Ремонт електровелосипедів,Харків + Київ,електровелосипед,ремонт электровелосипедов,RU,Основной/дополнительный запрос,"Ремонт электровелосипеда: мотор, батарея, контроллер, зарядка",10,Низкий,nan,nan,"Отдельная страница, спрос есть",Высокий/средний,Keyword Stats 2026-05-14 at 17_22_01.csv
2,/remont-elektrovelosypediv/,Ремонт електровелосипедів,Харків + Київ,електровелосипед,ремонт электровелосипедов в харькове,RU,Коммерческий city-запрос,"Ремонт электровелосипеда: мотор, батарея, контроллер, зарядка",10,Средний,"1,82","12,03","Отдельная страница, спрос есть",Высокий/средний,Keyword Stats 2026-05-14 at 17_22_01.csv
2,/remont-elektrovelosypediv/,Ремонт електровелосипедів,Харків + Київ,електровелосипед,сервис электровелосипедов,RU,Основной/дополнительный запрос,"Ремонт электровелосипеда: мотор, батарея, контроллер, зарядка",10,Низкий,nan,nan,"Отдельная страница, спрос есть",Высокий/средний,Keyword Stats 2026-05-14 at 17_22_01.csv
2,/remont-elektrovelosypediv/,Ремонт електровелосипедів,Харків + Київ,електровелосипед,электровелосипед ремонт,RU,Основной/дополнительный запрос,"Ремонт электровелосипеда: мотор, батарея, контроллер, зарядка",10,Неизвестно,nan,nan,"Отдельная страница, спрос есть",Высокий/средний,Keyword Stats 2026-05-14 at 17_30_18.csv
